"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF","Glenn Robinson III",3000,"Ind@SA 08:30PM ET",7.984,"Ind"
"PF","Mitch McGary",3000,"OKC@LAC 10:30PM ET",3.792,"OKC"
"SG","Archie Goodwin",3000,"Pho@Uta 09:00PM ET",9.942,"Pho"
"SF","Cleanthony Early",3000,"Orl@NY 07:30PM ET",2.214,"NY"
"PF","Jordan Mickey",3000,"Min@Bos 07:30PM ET",6.125,"Bos"
"PG","Terry Rozier",3000,"Min@Bos 07:30PM ET",3.733,"Bos"
"SG","James Young",3000,"Min@Bos 07:30PM ET",5.150,"Bos"
"PG","Aaron Harrison",3000,"Cha@Hou 08:00PM ET",2.800,"Cha"
"PG","Cameron Payne",3000,"OKC@LAC 10:30PM ET",4.865,"OKC"
"PG","Dante Exum",3000,"Pho@Uta 09:00PM ET",0,"Uta"
"C","Walter Tavares",3000,"Por@Atl 08:00PM ET",1.875,"Atl"
"SF","Damjan Rudez",3000,"Min@Bos 07:30PM ET",4.458,"Min"
"C","Cristiano Felicio",3000,"Bkn@Chi 08:00PM ET",1.750,"Chi"
"SG","Mario Hezonja",3000,"Orl@NY 07:30PM ET",7.554,"Orl"
"PG","Tyus Jones",3000,"Min@Bos 07:30PM ET",2.875,"Min"
"PF","Cliff Alexander",3000,"Por@Atl 08:00PM ET",3.833,"Por"
"PF","Chris McCullough",3000,"Bkn@Chi 08:00PM ET",0,"Bkn"
"SF","Luis Montero",3000,"Por@Atl 08:00PM ET",2.125,"Por"
